,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,2e-06,0.00049,0.141466,0.052939,0.206842,0.1603,0.281412,0.125415,0.000849,0.075385,0.051678,0.330033,0.149221,0.003521,0.122864,0.312509,0.151553,0.025915,0.040235,0.119163,0.020117,0.225773,9.3e-05,0.08494,0.268492,0.1113,0.086689,0.035896,0.04147,0.007161,0.000235,0.08219
Beer & Liquor,2e-06,1.0,0.0,0.0,0.0,1e-06,2e-06,2e-06,3e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,1e-06,0.0,4e-06,0.0,0.0,0.0,0.0,0.0
Candied & Chocolate Covered Fruit,0.00049,0.0,1.0,0.000823,0.000359,0.000453,0.000372,0.000474,0.000525,0.00039,0.000612,0.000466,0.000483,0.000574,0.000493,0.000696,0.000482,0.000639,0.000435,0.000555,0.000491,0.000194,0.000517,0.000377,0.000313,0.000537,0.000246,0.000369,0.000101,0.000447,0.001161,0.0,0.0003
Candy & Chocolate,0.141466,0.0,0.000823,1.0,0.043742,0.111182,0.096076,0.130258,0.085479,0.001397,0.06897,0.043713,0.1311,0.097192,0.004785,0.090942,0.133152,0.103872,0.020812,0.039015,0.075732,0.01482,0.116097,7.7e-05,0.054465,0.136651,0.075618,0.062388,0.027171,0.034485,0.008684,0.000239,0.057315
Coffee,0.052939,0.0,0.000359,0.043742,1.0,0.050868,0.04569,0.056331,0.042522,0.00091,0.033435,0.024588,0.051041,0.045636,0.003874,0.04094,0.053608,0.047562,0.017114,0.024349,0.038898,0.011179,0.04661,0.000237,0.032368,0.049776,0.035234,0.036632,0.018587,0.022388,0.005809,0.000279,0.034924
Condiments & Sauces,0.206842,1e-06,0.000453,0.111182,0.050868,1.0,0.144733,0.210004,0.114364,0.000648,0.067876,0.049378,0.223545,0.129648,0.003627,0.107995,0.224378,0.124288,0.027598,0.041866,0.116534,0.021561,0.165892,0.000119,0.090682,0.187706,0.094693,0.088223,0.034212,0.040822,0.008391,0.000267,0.076299
Cooking & Baking Ingredients,0.1603,2e-06,0.000372,0.096076,0.04569,0.144733,1.0,0.168172,0.09651,0.00046,0.0599,0.042284,0.174534,0.112689,0.003431,0.089896,0.167532,0.105002,0.027212,0.042663,0.093664,0.020679,0.120718,6.2e-05,0.087909,0.145514,0.078572,0.075233,0.029967,0.038357,0.007118,0.000324,0.066258
Dairy Products,0.281412,2e-06,0.000474,0.130258,0.056331,0.210004,0.168172,1.0,0.128187,0.000482,0.073263,0.050513,0.332457,0.149123,0.003483,0.119301,0.306197,0.150095,0.028339,0.044562,0.11933,0.019841,0.209043,9.8e-05,0.09227,0.250216,0.103203,0.090123,0.03489,0.042396,0.007478,0.000255,0.083133
Dips & Spreads,0.125415,3e-06,0.000525,0.085479,0.042522,0.114364,0.09651,0.128187,1.0,0.000507,0.059894,0.043103,0.123467,0.09389,0.003808,0.082831,0.125823,0.093777,0.027969,0.038736,0.082089,0.019155,0.105038,0.000134,0.065085,0.118582,0.069163,0.068605,0.030221,0.034565,0.009316,0.00027,0.060493
Food Gift Baskets,0.000849,0.0,0.00039,0.001397,0.00091,0.000648,0.00046,0.000482,0.000507,1.0,0.000564,0.001826,0.000593,0.001642,0.000414,0.000461,0.000477,0.000575,0.00032,0.001305,0.000404,0.00647,0.00079,0.0,0.000375,0.001623,0.000364,0.001055,0.00027,0.000598,0.000429,0.0,0.000432
Frozen Desserts & Novelties,0.075385,0.0,0.000612,0.06897,0.033435,0.067876,0.0599,0.073263,0.059894,0.000564,1.0,0.039721,0.067189,0.061575,0.004667,0.062932,0.072027,0.068115,0.022643,0.030198,0.055861,0.01708,0.066447,0.000198,0.042213,0.069569,0.054282,0.049798,0.026518,0.028702,0.007879,0.000277,0.04507
Fruit Flavored Drinks,0.051678,0.0,0.000466,0.043713,0.024588,0.049378,0.042284,0.050513,0.043103,0.001826,0.039721,1.0,0.045514,0.04522,0.00341,0.053262,0.05103,0.046298,0.018752,0.022274,0.046171,0.022221,0.048018,0.000106,0.035397,0.051935,0.045013,0.036889,0.031373,0.023412,0.005956,0.000215,0.045829
Fruits & Vegetables,0.330033,1e-06,0.000483,0.1311,0.051041,0.223545,0.174534,0.332457,0.123467,0.000593,0.067189,0.045514,1.0,0.153626,0.003028,0.117268,0.378599,0.149833,0.027075,0.043131,0.113402,0.016831,0.23229,7.1e-05,0.09368,0.283561,0.098099,0.085432,0.030126,0.039529,0.007439,0.000261,0.079021
"Grains, Rice & Cereal",0.149221,0.0,0.000574,0.097192,0.045636,0.129648,0.112689,0.149123,0.09389,0.001642,0.061575,0.04522,0.153626,1.0,0.00408,0.095849,0.149966,0.110952,0.029641,0.042829,0.095771,0.019358,0.123312,6.3e-05,0.073577,0.141781,0.070887,0.073055,0.030072,0.037377,0.009678,0.000276,0.064068
Hot Chocolate,0.003521,0.0,0.000493,0.004785,0.003874,0.003627,0.003431,0.003483,0.003808,0.000414,0.004667,0.00341,0.003028,0.00408,1.0,0.004614,0.003384,0.00473,0.003099,0.003201,0.003654,0.002097,0.003458,0.000536,0.002787,0.003384,0.002708,0.003704,0.002077,0.002874,0.004889,0.000277,0.002801
Juice,0.122864,0.0,0.000696,0.090942,0.04094,0.107995,0.089896,0.119301,0.082831,0.000461,0.062932,0.053262,0.117268,0.095849,0.004614,1.0,0.12293,0.09976,0.026123,0.035095,0.08325,0.018518,0.106639,0.000169,0.060957,0.114557,0.07112,0.065538,0.032581,0.035322,0.009343,0.000257,0.063071
"Meat, Seafood & Eggs",0.312509,2e-06,0.000482,0.133152,0.053608,0.224378,0.167532,0.306197,0.125823,0.000477,0.072027,0.05103,0.378599,0.149966,0.003384,0.12293,1.0,0.152857,0.026753,0.041262,0.120714,0.019614,0.236083,8.4e-05,0.090866,0.26832,0.107929,0.089776,0.034546,0.041465,0.00672,0.000231,0.08403
