,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
All,0.286975,1.6e-05,0.000323,0.113362,0.053364,0.167211,0.134083,0.259016,0.089466,0.00212,0.045965,0.034958,0.425196,0.11254,0.003056,0.082124,0.314319,0.101461,0.017201,0.03184,0.079155,0.013204,0.221918,0.000939,0.065176,0.268777,0.088757,0.05703,0.027831,0.040116,0.003985,0.000382,0.063995
Bakery,1.0,2e-06,0.00049,0.17289,0.059627,0.271256,0.202704,0.417826,0.146181,0.000855,0.081328,0.055125,0.615793,0.180766,0.003546,0.140733,0.498888,0.178138,0.026774,0.042971,0.135843,0.020627,0.326622,9.3e-05,0.096071,0.409902,0.131129,0.095626,0.038013,0.045385,0.007209,0.000235,0.092884
Beer & Liquor,0.044118,1.0,0.0,0.0,0.0,0.014706,0.014706,0.029412,0.014706,0.0,0.0,0.0,0.029412,0.0,0.0,0.0,0.029412,0.0,0.0,0.0,0.0,0.0,0.014706,0.0,0.0,0.014706,0.0,0.014706,0.0,0.0,0.0,0.0,0.0
Candied & Chocolate Covered Fruit,0.435199,0.0,1.0,0.289396,0.059647,0.234904,0.154639,0.379971,0.145803,0.002946,0.087629,0.05081,0.63623,0.200295,0.005155,0.177467,0.469072,0.201031,0.023564,0.055228,0.120766,0.0081,0.35567,0.001473,0.063328,0.446981,0.067747,0.065538,0.008837,0.055965,0.015464,0.0,0.059647
Candy & Chocolate,0.43767,0.0,0.000825,1.0,0.061638,0.247644,0.191331,0.378568,0.140896,0.001421,0.090681,0.054797,0.550641,0.176523,0.004891,0.14375,0.443314,0.178318,0.023481,0.048097,0.119558,0.016305,0.307653,7.8e-05,0.081349,0.405266,0.125345,0.088267,0.032947,0.045131,0.008912,0.000239,0.08481
Coffee,0.320657,0.0,0.000361,0.130938,1.0,0.200081,0.153477,0.312163,0.10917,0.000945,0.060221,0.039719,0.435499,0.135687,0.00408,0.099856,0.350571,0.131727,0.02225,0.037954,0.09298,0.013791,0.229732,0.000241,0.069647,0.286235,0.090644,0.073103,0.027765,0.038359,0.006207,0.000281,0.074213
Condiments & Sauces,0.465539,1e-06,0.000454,0.167891,0.063854,1.0,0.227818,0.4424,0.157538,0.000656,0.081034,0.056893,0.647292,0.192012,0.00368,0.14534,0.527743,0.177627,0.02962,0.047835,0.153778,0.022772,0.331127,0.00012,0.11555,0.412076,0.132418,0.108721,0.038586,0.048631,0.008519,0.000268,0.098021
Cooking & Baking Ingredients,0.433844,2e-06,0.000373,0.161764,0.061083,0.284107,1.0,0.422062,0.146743,0.000467,0.075888,0.051145,0.619827,0.186281,0.003498,0.132999,0.479869,0.166929,0.029889,0.050634,0.136201,0.022255,0.285993,6.2e-05,0.120084,0.381668,0.121071,0.09973,0.035135,0.047992,0.007278,0.000325,0.091799
Dairy Products,0.462928,2e-06,0.000474,0.165685,0.064313,0.285598,0.218485,1.0,0.152868,0.000486,0.080376,0.054574,0.659093,0.186155,0.003512,0.140379,0.518889,0.181629,0.029388,0.047905,0.139188,0.020447,0.321035,9.8e-05,0.105732,0.407819,0.125604,0.100875,0.037336,0.046971,0.007536,0.000255,0.095716
Dips & Spreads,0.468896,3e-06,0.000527,0.178528,0.065117,0.294437,0.219924,0.442572,1.0,0.000519,0.085542,0.057468,0.632199,0.1938,0.003923,0.146712,0.50441,0.18297,0.032439,0.050564,0.142981,0.021569,0.330831,0.000136,0.105624,0.424492,0.128866,0.105124,0.03846,0.048391,0.009641,0.000271,0.097845
Food Gift Baskets,0.115726,0.0,0.000449,0.075991,0.023796,0.051745,0.029521,0.059378,0.021888,1.0,0.012796,0.031878,0.11943,0.088674,0.00101,0.018296,0.071164,0.028062,0.002918,0.020878,0.01549,0.04647,0.083399,0.0,0.011898,0.207094,0.015602,0.029408,0.003816,0.011898,0.001235,0.0,0.01347
Frozen Desserts & Novelties,0.507762,0.0,0.000616,0.223645,0.069915,0.294787,0.221372,0.452927,0.1665,0.00059,1.0,0.06726,0.645362,0.200019,0.004954,0.164989,0.526636,0.204538,0.030428,0.049618,0.144013,0.021617,0.363128,0.000202,0.097936,0.445389,0.150908,0.106291,0.041475,0.052253,0.008495,0.00028,0.10317
