,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
Bakery,1.0,0.0,0.000494,0.1128,0.04099,0.166752,0.127504,0.230336,0.103539,0.00011,0.069786,0.048098,0.278832,0.112672,0.001331,0.092833,0.255819,0.126931,0.016129,0.034299,0.076881,0.016408,0.180135,3.6e-05,0.057741,0.223221,0.096132,0.048044,0.03517,0.03328,0.005786,0.000121,0.068657
Beer & Liquor,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,1e-06,0.0,0.0,0.0,1.5e-05,0.0,0.0,0.0
Candied & Chocolate Covered Fruit,0.000494,0.0,1.0,0.000628,0.000346,0.000393,0.000341,0.000504,0.000504,0.001877,0.000597,0.000443,0.000454,0.000479,0.001319,0.000582,0.000468,0.000621,0.000387,0.000479,0.000356,4e-05,0.000447,0.0,0.000494,0.000378,0.00021,0.000382,7.5e-05,0.000346,0.000888,0.0,0.000382
Candy & Chocolate,0.1128,0.0,0.000628,1.0,0.032316,0.085561,0.073094,0.102459,0.06574,0.000107,0.059527,0.038501,0.106657,0.069524,0.001678,0.065843,0.106003,0.080603,0.013484,0.030449,0.049915,0.012343,0.086952,3.7e-05,0.038189,0.106959,0.063476,0.035195,0.025901,0.026134,0.005716,0.000145,0.04715
Coffee,0.04099,0.0,0.000346,0.032316,1.0,0.039095,0.034546,0.043913,0.033743,0.000102,0.026979,0.021265,0.040654,0.034052,0.001467,0.030394,0.04182,0.037428,0.011324,0.019455,0.026683,0.009196,0.033222,4.8e-05,0.022957,0.038854,0.028165,0.022478,0.016513,0.017675,0.004076,0.000112,0.028207
Condiments & Sauces,0.166752,0.0,0.000393,0.085561,0.039095,1.0,0.117503,0.174021,0.092934,9.9e-05,0.059215,0.044723,0.188334,0.097056,0.001171,0.080065,0.184343,0.101566,0.016928,0.035249,0.076357,0.018308,0.128858,3.3e-05,0.063549,0.157138,0.083186,0.050417,0.03406,0.032775,0.005643,0.000175,0.064586
Cooking & Baking Ingredients,0.127504,0.0,0.000341,0.073094,0.034546,0.117503,1.0,0.137021,0.078137,7.7e-05,0.051493,0.038054,0.144975,0.083972,0.000976,0.066935,0.135644,0.085175,0.017387,0.035672,0.062251,0.017735,0.092471,5.1e-05,0.063621,0.121844,0.06892,0.043954,0.030057,0.030396,0.004658,0.000206,0.055239
Dairy Products,0.230336,1e-06,0.000504,0.102459,0.043913,0.174021,0.137021,1.0,0.106385,0.000128,0.066874,0.047642,0.292817,0.113926,0.001238,0.091015,0.257554,0.125306,0.018411,0.03876,0.077831,0.016651,0.168192,5.1e-05,0.064602,0.213883,0.091176,0.05005,0.034953,0.034169,0.005513,0.000157,0.070972
Dips & Spreads,0.103539,0.0,0.000504,0.06574,0.033743,0.092934,0.078137,0.106385,1.0,0.00013,0.051362,0.039351,0.104216,0.073195,0.001271,0.063277,0.103797,0.077194,0.019012,0.032444,0.056894,0.01614,0.080078,3.1e-05,0.046762,0.098737,0.060409,0.04057,0.030255,0.028453,0.006807,0.000161,0.050933
Food Gift Baskets,0.00011,0.0,0.001877,0.000107,0.000102,9.9e-05,7.7e-05,0.000128,0.00013,1.0,0.000129,0.000118,0.000103,0.000101,0.0,0.000149,0.000116,0.000151,0.0,0.000176,9.2e-05,0.0,0.000122,0.0,9.9e-05,8e-05,5.8e-05,9.8e-05,3.3e-05,0.000123,0.000123,0.0,0.000101
Frozen Desserts & Novelties,0.069786,0.0,0.000597,0.059527,0.026979,0.059215,0.051493,0.066874,0.051362,0.000129,1.0,0.034474,0.063893,0.051236,0.001773,0.052213,0.066553,0.060309,0.014752,0.025317,0.041948,0.012911,0.057,4.6e-05,0.031418,0.06208,0.04681,0.031782,0.023397,0.023103,0.006571,0.000165,0.03896
Fruit Flavored Drinks,0.048098,0.0,0.000443,0.038501,0.021265,0.044723,0.038054,0.047642,0.039351,0.000118,0.034474,1.0,0.043709,0.03907,0.00119,0.044151,0.047862,0.042374,0.013881,0.020425,0.036191,0.019087,0.040393,2.1e-05,0.028534,0.047927,0.04196,0.026381,0.030823,0.020702,0.004605,0.000111,0.043945
Fruits & Vegetables,0.278832,1e-06,0.000454,0.106657,0.040654,0.188334,0.144975,0.292817,0.104216,0.000103,0.063893,0.043709,1.0,0.118056,0.001165,0.091311,0.331199,0.129444,0.018028,0.037958,0.074147,0.013976,0.199756,4.2e-05,0.065901,0.253504,0.088271,0.047237,0.02996,0.031991,0.006032,0.000152,0.068283
"Grains, Rice & Cereal",0.112672,0.0,0.000479,0.069524,0.034052,0.097056,0.083972,0.113926,0.073195,0.000101,0.051236,0.03907,0.118056,1.0,0.001359,0.069041,0.113241,0.08562,0.019697,0.03383,0.062225,0.016439,0.087467,1.8e-05,0.049861,0.108571,0.059052,0.042256,0.028602,0.02813,0.006245,0.000132,0.051316
Hot Chocolate,0.001331,0.0,0.001319,0.001678,0.001467,0.001171,0.000976,0.001238,0.001271,0.0,0.001773,0.00119,0.001165,0.001359,1.0,0.001863,0.001193,0.001752,0.001371,0.001205,0.001201,0.000301,0.00114,0.000144,0.000876,0.001027,0.000682,0.001188,0.000354,0.001174,0.001916,0.0,0.000873
Juice,0.092833,0.0,0.000582,0.065843,0.030394,0.080065,0.066935,0.091015,0.063277,0.000149,0.052213,0.044151,0.091311,0.069041,0.001863,1.0,0.093533,0.077052,0.016851,0.028646,0.054077,0.01501,0.074526,4.4e-05,0.041922,0.085417,0.056069,0.038252,0.029582,0.026992,0.006528,0.000193,0.049231
"Meat, Seafood & Eggs",0.255819,1e-06,0.000468,0.106003,0.04182,0.184343,0.135644,0.257554,0.103797,0.000116,0.066553,0.047862,0.331199,0.113241,0.001193,0.093533,1.0,0.128631,0.016849,0.035299,0.078371,0.016214,0.194163,3.4e-05,0.063097,0.230754,0.095807,0.049823,0.03427,0.033328,0.005003,0.000141,0.071597
Milk,0.126931,0.0,0.000621,0.080603,0.037428,0.101566,0.085175,0.125306,0.077194,0.000151,0.060309,0.042374,0.129444,0.08562,0.001752,0.077052,0.128631,1.0,0.015689,0.033457,0.061487,0.015482,0.095707,2.2e-05,0.047702,0.110405,0.068088,0.043592,0.030911,0.03095,0.006074,0.000184,0.056159
Non-Dairy Milk,0.016129,0.0,0.000387,0.013484,0.011324,0.016928,0.017387,0.018411,0.019012,0.0,0.014752,0.013881,0.018028,0.019697,0.001371,0.016851,0.016849,0.015689,1.0,0.016576,0.014428,0.008522,0.012969,6.1e-05,0.01474,0.015626,0.011075,0.013809,0.010564,0.010924,0.014703,0.000165,0.015549
