,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
American Restaurants,1.0,0.018473,0.004225,0.017377,0.008508,6.9e-05,0.097459,0.004543,0.029541,0.006587,0.004753,0.00119,0.00052,0.007827,0.026085,0.007994,0.000336,0.007007,0.002042,0.051756,0.001421,0.045525,0.000535,0.059045,0.009234,0.002137,0.008393,0.004031,0.00027
Asian Restaurants,0.018473,1.0,0.007545,0.008562,0.006982,0.000161,0.012961,0.004589,0.047983,0.007665,0.003173,0.001768,0.000541,0.017849,0.013942,0.028527,0.001084,0.012634,0.003786,0.019266,0.004097,0.007102,0.000204,0.015908,0.012973,0.001188,0.02103,0.017051,0.000647
BBQ Restaurants,0.004225,0.007545,1.0,0.003068,0.004321,0.000422,0.002928,0.00367,0.00786,0.00263,0.002722,0.002074,0.000598,0.002547,0.004381,0.006281,0.001292,0.004381,0.003121,0.004493,0.00249,0.001582,0.001003,0.003527,0.006332,0.003703,0.004731,0.004958,0.000632
Bakeries,0.017377,0.008562,0.003068,1.0,0.004438,2.6e-05,0.011208,0.014314,0.010869,0.014898,0.003397,0.001289,0.000709,0.002953,0.01296,0.00472,0.00034,0.005469,0.002068,0.016997,0.001127,0.007454,9.4e-05,0.020903,0.006257,0.001656,0.006053,0.003297,0.0002
Bar Food,0.008508,0.006982,0.004321,0.004438,1.0,9e-05,0.005378,0.002796,0.006711,0.003169,0.003014,0.002759,0.000559,0.002657,0.007237,0.005537,0.000598,0.005544,0.003364,0.00781,0.002403,0.003669,0.000912,0.006629,0.006333,0.001475,0.004424,0.002641,0.000358
British Restaurants,6.9e-05,0.000161,0.000422,2.6e-05,9e-05,1.0,9.5e-05,3.9e-05,0.000154,8.1e-05,0.0,0.0,0.002529,0.000348,0.000106,3e-05,0.0,5.6e-05,0.000402,4e-05,0.001669,6.7e-05,0.009275,4e-05,2.3e-05,0.0,2e-05,0.000114,0.000462
Burgers,0.097459,0.012961,0.002928,0.011208,0.005378,9.5e-05,1.0,0.003151,0.017492,0.005174,0.003726,0.000667,0.000375,0.005101,0.014995,0.005721,0.000367,0.003348,0.00146,0.028318,0.001665,0.028187,0.000795,0.040152,0.005226,0.001803,0.004914,0.002276,0.000145
Cafes,0.004543,0.004589,0.00367,0.014314,0.002796,3.9e-05,0.003151,1.0,0.003981,0.009299,0.001644,0.001807,0.000617,0.001653,0.004259,0.003143,0.000488,0.004617,0.004427,0.005447,0.001629,0.001656,0.00022,0.005058,0.005285,0.00135,0.003887,0.002845,0.000372
Chinese Restaurants,0.029541,0.047983,0.00786,0.010869,0.006711,0.000154,0.017492,0.003981,1.0,0.006732,0.005344,0.00143,0.000646,0.018855,0.016069,0.021926,0.001122,0.010212,0.002102,0.03015,0.002486,0.011121,0.00023,0.022111,0.013423,0.001172,0.018688,0.014752,0.000574
Coffee Shops,0.006587,0.007665,0.00263,0.014898,0.003169,8.1e-05,0.005174,0.009299,0.006732,1.0,0.00436,0.001309,0.00088,0.002718,0.005074,0.005789,0.000632,0.006721,0.002347,0.00777,0.001447,0.002076,0.0001,0.007683,0.004306,0.000802,0.005692,0.004229,0.00042
Diners,0.004753,0.003173,0.002722,0.003397,0.003014,0.0,0.003726,0.001644,0.005344,0.00436,1.0,0.00139,0.001633,0.002495,0.003,0.003605,0.001169,0.004636,0.00094,0.005811,0.00115,0.001136,1.8e-05,0.003746,0.003458,0.000889,0.003902,0.002437,0.000883
Greek Restaurants,0.00119,0.001768,0.002074,0.001289,0.002759,0.0,0.000667,0.001807,0.00143,0.001309,0.00139,1.0,0.000448,0.001016,0.002303,0.002197,0.000911,0.004324,0.007954,0.001705,0.005957,0.000485,2.7e-05,0.001539,0.002723,0.000661,0.002046,0.001674,0.001641
Ice Cream,0.00052,0.000541,0.000598,0.000709,0.000559,0.002529,0.000375,0.000617,0.000646,0.00088,0.001633,0.000448,1.0,0.000463,0.000469,0.000721,0.000442,0.001322,0.000584,0.000733,0.000766,0.000192,0.017164,0.000498,0.000671,0.000103,0.000705,0.000672,0.000291
