,Bakery,Beer & Liquor,Candied & Chocolate Covered Fruit,Candy & Chocolate,Coffee,Condiments & Sauces,Cooking & Baking Ingredients,Dairy Products,Dips & Spreads,Food Gift Baskets,Frozen Desserts & Novelties,Fruit Flavored Drinks,Fruits & Vegetables,"Grains, Rice & Cereal",Hot Chocolate,Juice,"Meat, Seafood & Eggs",Milk,Non-Dairy Milk,Nuts & Seeds,Pasta & Noodles,Powdered Beverage Mixes,Prepared Foods,Prepared Meals,Seasonings & Spices,Snack Foods,Soda,Soups & Broths,Sports & Energy Drinks,Tea & Infusions,"Tofu, Soy & Vegetarian Products",Vinegar Drinks,Water
All,0.28005,2.6e-05,0.00069,0.116775,0.060922,0.182151,0.14914,0.267121,0.100055,0.000357,0.059834,0.045802,0.411343,0.119973,0.001948,0.08405,0.314378,0.109318,0.01538,0.039517,0.077091,0.014899,0.283446,0.000733,0.066544,0.300722,0.10309,0.046347,0.038408,0.045957,0.004868,0.000342,0.074826
Bakery,1.0,4e-06,0.001085,0.198427,0.075343,0.326645,0.24612,0.483617,0.187282,0.000205,0.11903,0.08241,0.676453,0.214618,0.002598,0.163487,0.557188,0.225491,0.027236,0.059427,0.141482,0.025591,0.399576,8.1e-05,0.106329,0.49042,0.165997,0.084781,0.057537,0.059023,0.009587,0.000239,0.123585
Beer & Liquor,0.040541,1.0,0.0,0.006757,0.02027,0.033784,0.013514,0.067568,0.027027,0.0,0.0,0.0,0.033784,0.006757,0.0,0.013514,0.033784,0.006757,0.0,0.006757,0.013514,0.006757,0.060811,0.0,0.013514,0.074324,0.033784,0.013514,0.027027,0.02027,0.0,0.0,0.013514
Candied & Chocolate Covered Fruit,0.440061,0.0,1.0,0.255379,0.072746,0.255123,0.182377,0.412654,0.17418,0.002305,0.127049,0.084529,0.574539,0.21875,0.008965,0.190318,0.466701,0.240523,0.025359,0.071465,0.126281,0.005379,0.38499,0.000512,0.092725,0.403689,0.099385,0.056352,0.010502,0.058402,0.01998,0.000768,0.086322
Candy & Chocolate,0.47587,2e-06,0.00151,1.0,0.076554,0.297737,0.232387,0.436148,0.178966,0.000247,0.13068,0.082192,0.599517,0.205405,0.003404,0.16503,0.492603,0.219562,0.025055,0.064295,0.12878,0.021548,0.373523,6.8e-05,0.09422,0.48013,0.164535,0.077069,0.052653,0.057655,0.010495,0.000267,0.116092
Coffee,0.346341,9e-06,0.000824,0.146738,1.0,0.241257,0.188628,0.354645,0.139856,0.000192,0.086658,0.06017,0.470642,0.159582,0.002972,0.117179,0.38659,0.164618,0.02354,0.052806,0.098498,0.017468,0.277571,0.00018,0.08007,0.346883,0.117292,0.064988,0.042606,0.051006,0.007602,0.000215,0.099142
Condiments & Sauces,0.502205,5e-06,0.000967,0.190876,0.080691,1.0,0.27552,0.507265,0.199031,0.000186,0.116636,0.085041,0.697164,0.224359,0.002516,0.166499,0.578564,0.224258,0.030235,0.066178,0.158849,0.028829,0.402687,9.8e-05,0.125951,0.494803,0.170538,0.096008,0.060465,0.062918,0.010375,0.000314,0.131177
Cooking & Baking Ingredients,0.462156,2e-06,0.000844,0.181956,0.077052,0.336503,1.0,0.477914,0.183952,0.000189,0.107699,0.076253,0.662156,0.217803,0.002242,0.152053,0.520585,0.208402,0.030273,0.070644,0.143253,0.028905,0.348461,6.9e-05,0.135952,0.458112,0.155395,0.088801,0.055323,0.062026,0.009198,0.000343,0.121526
Dairy Products,0.507025,7e-06,0.001066,0.190666,0.080884,0.345906,0.266831,1.0,0.195688,0.000217,0.117974,0.082722,0.723187,0.22111,0.002472,0.16461,0.582494,0.229764,0.030496,0.066579,0.14604,0.026363,0.395754,9.9e-05,0.11799,0.491753,0.1636,0.089163,0.058477,0.061176,0.00974,0.000272,0.130048
Dips & Spreads,0.524196,7e-06,0.001202,0.208873,0.085157,0.362338,0.274196,0.522438,1.0,0.000263,0.126515,0.089414,0.700973,0.237173,0.002879,0.174482,0.575629,0.238702,0.03503,0.071326,0.155287,0.027984,0.41388,9.2e-05,0.120146,0.519739,0.171595,0.094937,0.062356,0.0645,0.012589,0.000256,0.135546
