,American Restaurants,Asian Restaurants,BBQ Restaurants,Bakeries,Bar Food,British Restaurants,Burgers,Cafes,Chinese Restaurants,Coffee Shops,Diners,Greek Restaurants,Ice Cream,Indian Restaurants,Italian Restaurants,Japanese Restaurants,Korean Restaurants,Latin American Restaurants,Mediterranean Restaurants,Mexican Restaurants,Middle Eastern Restaurants,Pizza,Pubs,Sandwiches,Seafood Restaurants,Steakhouse,Sushi,Thai Restaurants,Vegetarian Restaurants
All,0.230812,0.0344,0.005647,0.031806,0.01058,0.000293,0.126159,0.006816,0.050501,0.009975,0.003798,0.001221,0.000647,0.023757,0.045728,0.013464,0.000616,0.007164,0.003176,0.077128,0.003721,0.403576,0.003954,0.111954,0.011608,0.00342,0.013591,0.007037,0.00031
American Restaurants,1.0,0.020841,0.00431,0.019433,0.008823,6.9e-05,0.137343,0.004656,0.034972,0.006827,0.004808,0.001195,0.000522,0.008566,0.030459,0.008393,0.000337,0.007174,0.002066,0.065653,0.001442,0.119678,0.000543,0.082795,0.00961,0.002164,0.008813,0.004137,0.00027
Asian Restaurants,0.139834,1.0,0.008718,0.016338,0.009067,0.000162,0.059718,0.005473,0.113003,0.009812,0.003512,0.001827,0.000551,0.029646,0.032029,0.038591,0.001102,0.015074,0.00412,0.061282,0.004521,0.089782,0.000227,0.066622,0.017128,0.001304,0.028735,0.020195,0.000652
BBQ Restaurants,0.176172,0.053106,1.0,0.020285,0.012363,0.000444,0.068134,0.008069,0.077536,0.007255,0.004541,0.002517,0.000666,0.013227,0.039681,0.021124,0.001431,0.009896,0.004861,0.065568,0.004121,0.114454,0.001703,0.073193,0.019224,0.005923,0.01604,0.01108,0.000666
Bakeries,0.141025,0.017671,0.003602,1.0,0.005889,2.6e-05,0.055046,0.017136,0.027823,0.019283,0.00379,0.001336,0.000723,0.005144,0.031188,0.006686,0.000346,0.006664,0.00227,0.057241,0.001258,0.101284,0.000105,0.092543,0.008487,0.001831,0.008588,0.004014,0.000202
Bar Food,0.192476,0.029478,0.006599,0.017703,1.0,9.2e-05,0.069138,0.004584,0.038487,0.006138,0.004083,0.003069,0.000593,0.008601,0.038237,0.012513,0.000632,0.009246,0.00436,0.064238,0.00324,0.143109,0.001251,0.076263,0.013198,0.001949,0.010063,0.004386,0.000369
British Restaurants,0.054762,0.019048,0.008571,0.002857,0.003333,1.0,0.040952,0.000952,0.026667,0.002857,0.0,0.0,0.008095,0.028571,0.016667,0.001429,0.0,0.001429,0.004762,0.010476,0.022857,0.092381,0.133333,0.015238,0.000952,0.0,0.000952,0.002857,0.000952
Burgers,0.251273,0.016284,0.00305,0.013878,0.005798,9.5e-05,1.0,0.003311,0.024072,0.005554,0.003824,0.000673,0.000377,0.00603,0.020129,0.006295,0.000369,0.003526,0.001495,0.044374,0.001711,0.115111,0.00082,0.072857,0.005677,0.001848,0.005417,0.002397,0.000146
Cafes,0.157667,0.027624,0.006686,0.079968,0.007116,4.1e-05,0.06128,1.0,0.033349,0.022696,0.002556,0.002126,0.000675,0.007402,0.032695,0.009324,0.000532,0.009426,0.006461,0.066718,0.002515,0.099577,0.000348,0.087697,0.014211,0.002024,0.011593,0.005766,0.000388
Chinese Restaurants,0.159836,0.076975,0.008671,0.017523,0.008063,0.000155,0.060136,0.004501,1.0,0.008008,0.005715,0.001463,0.000654,0.027212,0.030134,0.027176,0.001134,0.011543,0.00223,0.073967,0.002663,0.098894,0.000248,0.069588,0.01629,0.00125,0.023282,0.016563,0.000577
Coffee Shops,0.157979,0.03384,0.004108,0.06149,0.006511,8.4e-05,0.07025,0.015509,0.040546,1.0,0.005994,0.001467,0.000936,0.009165,0.028195,0.013525,0.000671,0.011471,0.003088,0.06733,0.001984,0.085898,0.00014,0.093206,0.009277,0.001076,0.013371,0.007181,0.000433
Diners,0.292156,0.03181,0.006751,0.031736,0.011374,0.0,0.127018,0.004586,0.075983,0.01574,1.0,0.001834,0.001908,0.018051,0.039001,0.016327,0.001357,0.013318,0.001724,0.123092,0.002275,0.121735,3.7e-05,0.113736,0.013979,0.001688,0.017794,0.006934,0.000954
Greek Restaurants,0.225913,0.051484,0.011644,0.034817,0.026598,0.0,0.069521,0.011872,0.060502,0.011986,0.005708,1.0,0.000685,0.020776,0.088356,0.02637,0.00137,0.029566,0.028425,0.109247,0.023973,0.160616,0.000114,0.142466,0.028539,0.002511,0.024772,0.011301,0.002055
Ice Cream,0.186207,0.02931,0.005819,0.03556,0.009698,0.003664,0.073491,0.007112,0.051078,0.01444,0.011207,0.001293,1.0,0.017457,0.033621,0.015733,0.000862,0.015948,0.003448,0.088147,0.005172,0.119828,0.120043,0.086638,0.012716,0.000647,0.015517,0.007974,0.000431
Indian Restaurants,0.083223,0.042929,0.003144,0.006887,0.003831,0.000352,0.032023,0.002124,0.057846,0.003848,0.002886,0.001068,0.000475,1.0,0.016707,0.011498,0.000927,0.008418,0.00274,0.023388,0.010864,0.063014,0.001332,0.030621,0.006253,0.000293,0.008066,0.009269,0.001126
Italian Restaurants,0.153741,0.024095,0.004901,0.021693,0.008847,0.000107,0.055534,0.004873,0.03328,0.00615,0.00324,0.002359,0.000475,0.00868,1.0,0.009759,0.000518,0.008076,0.003864,0.060944,0.002024,0.135038,0.000573,0.074579,0.014162,0.002715,0.009533,0.005282,0.000387
Japanese Restaurants,0.143885,0.098601,0.00886,0.015795,0.009833,3.1e-05,0.058989,0.00472,0.101934,0.010019,0.004606,0.002391,0.000756,0.020287,0.033143,1.0,0.001718,0.019107,0.005527,0.069484,0.004637,0.088654,0.000145,0.066741,0.029613,0.001459,0.083468,0.018631,0.000704
Korean Restaurants,0.126273,0.061552,0.013125,0.017877,0.010862,0.0,0.075583,0.005884,0.093007,0.010862,0.008373,0.002716,0.000905,0.035755,0.03847,0.037565,1.0,0.005657,0.008599,0.053406,0.006563,0.074678,0.0,0.061326,0.01833,0.000679,0.017198,0.014936,0.001131
Latin American Restaurants,0.231154,0.072389,0.007801,0.02959,0.013657,5.8e-05,0.062098,0.008968,0.081377,0.015972,0.007062,0.005039,0.00144,0.027917,0.051553,0.035912,0.000486,1.0,0.006517,0.152151,0.007159,0.09943,5.8e-05,0.099274,0.028228,0.001459,0.037235,0.013482,0.000992
Mediterranean Restaurants,0.15009,0.044619,0.008643,0.022726,0.014522,0.000439,0.05936,0.013864,0.035449,0.009696,0.002062,0.010924,0.000702,0.020489,0.055631,0.023428,0.001667,0.014697,1.0,0.072873,0.014829,0.118063,0.000526,0.09459,0.023384,0.002808,0.019875,0.009301,0.000834
Mexican Restaurants,0.196473,0.027333,0.004801,0.023605,0.008812,4e-05,0.072582,0.005896,0.048432,0.008707,0.006062,0.001729,0.000739,0.007204,0.036132,0.01213,0.000426,0.014132,0.003001,1.0,0.00176,0.120895,9.2e-05,0.089139,0.012599,0.001997,0.014627,0.006339,0.000444
Middle Eastern Restaurants,0.089435,0.041796,0.006254,0.010749,0.009213,0.001798,0.058013,0.004607,0.036141,0.005318,0.002322,0.007865,0.000899,0.069361,0.024868,0.016778,0.001086,0.013782,0.012659,0.036478,1.0,0.082019,0.003258,0.045054,0.009213,0.000524,0.01176,0.006442,0.001648
Pizza,0.068446,0.007653,0.001602,0.007982,0.003752,6.7e-05,0.035984,0.001682,0.012375,0.002123,0.001146,0.000486,0.000192,0.003709,0.015301,0.002958,0.000114,0.001765,0.000929,0.023104,0.000756,1.0,0.000794,0.036784,0.003052,0.001033,0.003136,0.001389,7e-05
Pubs,0.031725,0.001974,0.002432,0.000846,0.003349,0.00987,0.026155,0.000599,0.003172,0.000352,3.5e-05,3.5e-05,0.019634,0.008002,0.006627,0.000493,0.0,0.000106,0.000423,0.001798,0.003067,0.081039,1.0,0.015122,0.00074,3.5e-05,0.000247,0.000317,0.000529
Sandwiches,0.170697,0.020471,0.003692,0.026292,0.007207,4e-05,0.082101,0.005339,0.03139,0.008304,0.003859,0.001554,0.0005,0.006498,0.030462,0.008027,0.000337,0.006352,0.002684,0.06141,0.001498,0.1326,0.000534,1.0,0.008524,0.001664,0.008778,0.003902,0.000286
Seafood Restaurants,0.191089,0.050762,0.009353,0.023256,0.01203,2.4e-05,0.061699,0.008344,0.070872,0.007972,0.004574,0.003002,0.000708,0.012799,0.055792,0.034349,0.000972,0.017421,0.006399,0.083719,0.002954,0.10611,0.000252,0.082218,1.0,0.005139,0.034145,0.011142,0.000708
Steakhouse,0.146065,0.013123,0.009781,0.017035,0.006032,0.0,0.068183,0.004035,0.018462,0.003138,0.001875,0.000897,0.000122,0.002038,0.036313,0.005746,0.000122,0.003057,0.002608,0.045034,0.000571,0.121898,4.1e-05,0.054489,0.017443,1.0,0.005176,0.001508,0.000285
Sushi,0.149663,0.072729,0.006665,0.020097,0.007834,2.1e-05,0.050284,0.005814,0.08651,0.009813,0.004973,0.002225,0.000738,0.014099,0.032073,0.082686,0.000779,0.019626,0.004645,0.083004,0.00322,0.093114,7.2e-05,0.072309,0.029161,0.001302,1.0,0.016242,0.000677
Thai Restaurants,0.135699,0.098725,0.008892,0.018141,0.006595,0.000119,0.042975,0.005585,0.118866,0.010179,0.003743,0.001961,0.000733,0.031291,0.034321,0.035648,0.001307,0.013724,0.004199,0.069474,0.003406,0.079673,0.000178,0.062087,0.018378,0.000733,0.03137,1.0,0.00099
Vegetarian Restaurants,0.200718,0.072295,0.012124,0.020656,0.012573,0.000898,0.059273,0.008532,0.093848,0.01392,0.011675,0.008083,0.000898,0.086215,0.057027,0.030534,0.002245,0.022901,0.008532,0.110463,0.019758,0.091154,0.006736,0.103278,0.026493,0.003143,0.029636,0.022452,1.0
